Target: CBERS4A

Observer: AC
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
05 Jan 2000 17:26:06.274    05 Jan 2000 17:36:56.291      650.01645957    
06 Jan 2000 04:16:56.156    06 Jan 2000 04:26:25.811      569.65530541    
06 Jan 2000 05:56:02.077    06 Jan 2000 06:04:57.881      535.80333560    


Number of events : 19


Observer: PR
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:35:36.007    01 Jan 2000 16:45:02.609      566.60173304    
01 Jan 2000 18:14:15.161    01 Jan 2000 18:24:09.571      594.41023614    
02 Jan 2000 04:53:57.169    02 Jan 2000 05:02:03.081      485.91197004    
02 Jan 2000 06:31:49.816    02 Jan 2000 06:42:20.914      631.09772260    
02 Jan 2000 16:02:44.640    02 Jan 2000 16:08:08.189      323.54829786    
02 Jan 2000 17:38:19.317    02 Jan 2000 17:49:34.118      674.80177511    
03 Jan 2000 05:56:20.514    03 Jan 2000 06:07:39.255      678.74083731    
03 Jan 2000 17:03:11.348    03 Jan 2000 17:14:23.279      671.93125784    
03 Jan 2000 18:45:38.873    03 Jan 2000 18:50:29.117      290.24402675    
04 Jan 2000 05:21:23.141    04 Jan 2000 05:32:12.441      649.29987128    
04 Jan 2000 07:01:43.247    04 Jan 2000 07:09:12.831      449.58374159    
04 Jan 2000 16:28:49.918    04 Jan 2000 16:38:39.833      589.91496814    
04 Jan 2000 18:07:56.436    04 Jan 2000 18:17:26.552      570.11577585    
05 Jan 2000 04:47:08.501    05 Jan 2000 04:55:50.821      522.32004837    
05 Jan 2000 06:25:24.023    05 Jan 2000 06:35:38.957      614.93398855    
05 Jan 2000 15:55:38.283    05 Jan 2000 16:02:02.700      384.41706315    
05 Jan 2000 17:31:50.986    05 Jan 2000 17:42:58.697      667.71096981    
06 Jan 2000 04:16:00.504    06 Jan 2000 04:16:10.920      10.416306846    
06 Jan 2000 05:49:49.143    06 Jan 2000 06:01:05.263      676.12082411    


Number of events : 19


Observer: RJ
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:33:51.026    01 Jan 2000 16:44:33.089      642.06223012    
01 Jan 2000 18:14:30.125    01 Jan 2000 18:22:04.350      454.22509988    
02 Jan 2000 04:53:20.674    02 Jan 2000 05:03:39.507      618.83367664    
02 Jan 2000 06:33:01.400    02 Jan 2000 06:41:32.776      511.37638948    
02 Jan 2000 16:00:00.541    02 Jan 2000 16:08:25.482      504.94066385    
02 Jan 2000 17:37:44.701    02 Jan 2000 17:48:12.900      628.19870361    
03 Jan 2000 04:19:34.333    03 Jan 2000 04:26:48.396      434.06296133    
03 Jan 2000 05:56:56.265    03 Jan 2000 06:07:38.914      642.64847530    
03 Jan 2000 17:02:04.565    03 Jan 2000 17:13:26.843      682.27794188    
04 Jan 2000 05:21:31.362    04 Jan 2000 05:32:50.878      679.51595978    
04 Jan 2000 16:27:11.177    04 Jan 2000 16:38:05.891      654.71399651    
04 Jan 2000 18:08:25.501    04 Jan 2000 18:15:08.009      402.50804045    
05 Jan 2000 04:46:40.938    05 Jan 2000 04:57:16.350      635.41207508    
