Target,Observer,Start Time (UTC),Stop Time (UTC),Duration (s)
SCD1,ETC,2000-01-03 10:53:35.141,2000-01-03 11:03:25.860,590.71916282
SCD1,ETC,2000-01-03 12:38:35.910,2000-01-03 12:50:43.599,727.68901685
SCD1,ETC,2000-01-03 14:25:13.550,2000-01-03 14:37:02.133,708.58314709
SCD1,ETC,2000-01-03 16:12:26.244,2000-01-03 16:23:33.785,667.54128247
SCD1,ETC,2000-01-03 17:59:10.886,2000-01-03 18:10:42.687,691.80088767
SCD1,ETC,2000-01-03 19:45:27.393,2000-01-03 19:57:39.860,732.46693300
SCD1,ETC,2000-01-03 21:32:14.449,2000-01-03 21:43:19.777,665.32830162
SCD1,ETC,2000-01-03 23:22:08.493,2000-01-03 23:25:47.093,218.59981071
SCD1,ETC,2000-01-04 10:07:41.322,2000-01-04 10:14:50.084,428.76215492
SCD1,ETC,2000-01-04 11:51:34.061,2000-01-04 12:03:13.959,699.89717435
SCD1,ETC,2000-01-04 13:37:39.263,2000-01-04 13:49:45.450,726.18701899
SCD1,ETC,2000-01-04 15:24:46.240,2000-01-04 15:36:05.335,679.09549114
SCD1,ETC,2000-01-04 17:11:47.143,2000-01-04 17:23:01.045,673.90278237
SCD1,ETC,2000-01-04 18:58:10.236,2000-01-04 19:10:11.808,721.57265620
SCD1,ETC,2000-01-04 20:44:35.508,2000-01-04 20:56:29.958,714.44947924
SCD1,ETC,2000-01-04 22:32:30.099,2000-01-04 22:40:51.688,501.58924746
SCD1,ETC,2000-01-05 11:04:52.108,2000-01-05 11:15:28.165,636.05736836
SCD1,ETC,2000-01-05 12:50:15.593,2000-01-05 13:02:27.139,731.54633506
SCD1,ETC,2000-01-05 14:37:04.789,2000-01-05 14:48:43.750,698.96114009
SCD1,ETC,2000-01-05 16:24:16.086,2000-01-05 16:35:22.563,666.47663136
SCD1,ETC,2000-01-05 18:10:53.139,2000-01-05 18:22:34.642,701.50351654
SCD1,ETC,2000-01-05 19:57:09.835,2000-01-05 20:09:21.930,732.09432262
SCD1,ETC,2000-01-05 21:44:12.166,2000-01-05 21:54:41.309,629.14332356
SCD1,ETC,2000-01-06 10:18:38.455,2000-01-06 10:27:13.843,515.38839529
CBERS4A,EMMN,2000-01-01 16:28:29.000,2000-01-01 16:39:43.376,674.37659103
CBERS4A,EMMN,2000-01-02 04:57:05.185,2000-01-02 05:08:23.088,677.90241523
CBERS4A,EMMN,2000-01-02 15:54:13.092,2000-01-02 16:03:48.157,575.06499306
CBERS4A,EMMN,2000-01-02 17:33:21.114,2000-01-02 17:42:20.068,538.95343890
CBERS4A,EMMN,2000-01-03 04:22:07.090,2000-01-03 04:33:04.600,657.51019249
CBERS4A,EMMN,2000-01-03 06:03:53.859,2000-01-03 06:08:44.090,290.23140392
CBERS4A,EMMN,2000-01-03 15:21:41.362,2000-01-03 15:26:16.418,275.05643594
CBERS4A,EMMN,2000-01-03 16:57:09.424,2000-01-03 17:08:13.575,664.15142363
CBERS4A,EMMN,2000-01-04 03:48:03.717,2000-01-04 03:56:49.696,525.97939158
CBERS4A,EMMN,2000-01-04 05:26:28.382,2000-01-04 05:36:05.622,577.24001206
CBERS4A,EMMN,2000-01-04 16:21:52.971,2000-01-04 16:33:13.639,680.66797463
CBERS4A,EMMN,2000-01-05 04:50:35.161,2000-01-05 05:01:47.390,672.22906414
CBERS4A,EMMN,2000-01-05 15:47:27.047,2000-01-05 15:57:27.453,600.40591594
CBERS4A,EMMN,2000-01-05 17:27:07.140,2000-01-05 17:35:28.931,501.79078120
CBERS4A,EMMN,2000-01-06 04:15:29.447,2000-01-06 04:26:37.044,667.59664578
CBERS4A,EMMN,2000-01-06 05:58:19.984,2000-01-06 06:01:09.472,169.48816236
CBERS4A,ETA,2000-01-01 16:29:14.169,2000-01-01 16:38:10.098,535.92954380
CBERS4A,ETA,2000-01-01 18:07:42.630,2000-01-01 18:17:19.323,576.69317649
CBERS4A,ETA,2000-01-02 04:58:43.486,2000-01-02 05:09:40.053,656.56737926
CBERS4A,ETA,2000-01-02 06:40:32.318,2000-01-02 06:45:22.703,290.38503226
CBERS4A,ETA,2000-01-02 17:31:45.214,2000-01-02 17:43:00.929,675.71536023
CBERS4A,ETA,2000-01-03 04:24:43.073,2000-01-03 04:33:24.956,521.88349685
CBERS4A,ETA,2000-01-03 06:03:03.937,2000-01-03 06:12:43.208,579.27021818
CBERS4A,ETA,2000-01-03 16:56:38.783,2000-01-03 17:07:51.770,672.98706395
CBERS4A,ETA,2000-01-03 18:40:06.790,2000-01-03 18:42:02.140,115.34999198
CBERS4A,ETA,2000-01-04 05:27:10.232,2000-01-04 05:38:23.659,673.42706295
CBERS4A,ETA,2000-01-04 16:22:25.104,2000-01-04 16:31:52.667,567.56373025
CBERS4A,ETA,2000-01-04 18:01:24.893,2000-01-04 18:10:31.384,546.49104606
CBERS4A,ETA,2000-01-05 04:52:05.529,2000-01-05 05:03:12.562,667.03338535
CBERS4A,ETA,2000-01-05 06:35:00.041,2000-01-05 06:37:47.367,167.32574010
CBERS4A,ETA,2000-01-05 15:50:06.336,2000-01-05 15:54:04.352,238.01611934
CBERS4A,ETA,2000-01-05 17:25:16.876,2000-01-05 17:36:23.808,666.93181931
CBERS4A,ETA,2000-01-06 04:17:53.464,2000-01-06 04:27:08.856,555.39154062
CBERS4A,ETA,2000-01-06 05:56:45.188,2000-01-06 06:05:55.570,550.38122154
CBERS4A,ETC,2000-01-01 18:11:06.888,2000-01-01 18:22:26.581,679.69271148
CBERS4A,ETC,2000-01-02 04:59:25.075,2000-01-02 05:02:48.122,203.04705673
CBERS4A,ETC,2000-01-02 06:34:37.766,2000-01-02 06:45:44.370,666.60359834
CBERS4A,ETC,2000-01-02 17:36:06.866,2000-01-02 17:47:11.128,664.26254692
CBERS4A,ETC,2000-01-02 19:18:17.864,2000-01-02 19:23:06.360,288.49546389
CBERS4A,ETC,2000-01-03 05:59:26.693,2000-01-03 06:10:38.884,672.19024514
CBERS4A,ETC,2000-01-03 07:42:09.941,2000-01-03 07:45:01.896,171.95480402
CBERS4A,ETC,2000-01-03 17:02:00.265,2000-01-03 17:11:12.515,552.25097603
CBERS4A,ETC,2000-01-03 18:40:37.417,2000-01-03 18:50:16.030,578.61327709
CBERS4A,ETC,2000-01-04 05:24:59.169,2000-01-04 05:34:42.023,582.85404223
